x,y
-200.000000,0.033546
-199.000000,0.036333
-198.000000,0.039335
-197.000000,0.042569
-196.000000,0.046050
-195.000000,0.049796
-194.000000,0.053824
-193.000000,0.058156
-192.000000,0.062811
-191.000000,0.067811
-190.000000,0.073180
-189.000000,0.078943
-188.000000,0.085125
-187.000000,0.091755
-186.000000,0.098862
-185.000000,0.106477
-184.000000,0.114632
-183.000000,0.123362
-182.000000,0.132705
-181.000000,0.142697
-180.000000,0.153381
-179.000000,0.164799
-178.000000,0.176996
-177.000000,0.190019
-176.000000,0.203920
-175.000000,0.218749
-174.000000,0.234563
-173.000000,0.251420
-172.000000,0.269381
-171.000000,0.288509
-170.000000,0.308872
-169.000000,0.330539
-168.000000,0.353586
-167.000000,0.378087
-166.000000,0.404125
-165.000000,0.431784
-164.000000,0.461151
-163.000000,0.492318
-162.000000,0.525382
-161.000000,0.560442
-160.000000,0.597602
-159.000000,0.636972
-158.000000,0.678664
-157.000000,0.722795
-156.000000,0.769488
-155.000000,0.818870
-154.000000,0.871073
-153.000000,0.926233
-152.000000,0.984492
-151.000000,1.045997
-150.000000,1.110900
-149.000000,1.179358
-148.000000,1.251534
-147.000000,1.327597
-146.000000,1.407718
-145.000000,1.492079
-144.000000,1.580862
-143.000000,1.674258
-142.000000,1.772463
-141.000000,1.875678
-140.000000,1.984109
-139.000000,2.097970
-138.000000,2.217477
-137.000000,2.342855
-136.000000,2.474331
-135.000000,2.612141
-134.000000,2.756523
-133.000000,2.907723
-132.000000,3.065989
-131.000000,3.231577
-130.000000,3.404745
-129.000000,3.585759
-128.000000,3.774886
-127.000000,3.972399
-126.000000,4.178575
-125.000000,4.393693
-124.000000,4.618039
-123.000000,4.851899
-122.000000,5.095563
-121.000000,5.349324
-120.000000,5.613476
-119.000000,5.888317
-118.000000,6.174144
-117.000000,6.471256
-116.000000,6.779953
-115.000000,7.100535
-114.000000,7.433302
-113.000000,7.778552
-112.000000,8.136582
-111.000000,8.507688
-110.000000,8.892162
-109.000000,9.290294
-108.000000,9.702370
-107.000000,10.128672
-106.000000,10.569476
-105.000000,11.025053
-104.000000,11.495667
-103.000000,11.981577
-102.000000,12.483031
-101.000000,13.000271
-100.000000,13.533528
-99.000000,14.083025
-98.000000,14.648972
-97.000000,15.231569
-96.000000,15.831002
-95.000000,16.447446
-94.000000,17.081059
-93.000000,17.731987
-92.000000,18.400359
-91.000000,19.086288
-90.000000,19.789870
-89.000000,20.511182
-88.000000,21.250282
-87.000000,22.007211
-86.000000,22.781987
-85.000000,23.574608
-84.000000,24.385049
-83.000000,25.213264
-82.000000,26.059182
-81.000000,26.922710
-80.000000,27.803730
-79.000000,28.702097
-78.000000,29.617642
-77.000000,30.550168
-76.000000,31.499453
-75.000000,32.465247
-74.000000,33.447271
-73.000000,34.445218
-72.000000,35.458755
-71.000000,36.487516
-70.000000,37.531110
-69.000000,38.589113
-68.000000,39.661073
-67.000000,40.746510
-66.000000,41.844911
-65.000000,42.955736
-64.000000,44.078414
-63.000000,45.212346
-62.000000,46.356902
-61.000000,47.511424
-60.000000,48.675226
-59.000000,49.847592
-58.000000,51.027780
-57.000000,52.215020
-56.000000,53.408515
-55.000000,54.607443
-54.000000,55.810956
-53.000000,57.018181
-52.000000,58.228224
-51.000000,59.440166
-50.000000,60.653066
-49.000000,61.865965
-48.000000,63.077882
-47.000000,64.287820
-46.000000,65.494763
-45.000000,66.697681
-44.000000,67.895529
-43.000000,69.087249
-42.000000,70.271772
-41.000000,71.448020
-40.000000,72.614904
-39.000000,73.771331
-38.000000,74.916202
-37.000000,76.048416
-36.000000,77.166867
-35.000000,78.270454
-34.000000,79.358073
-33.000000,80.428628
-32.000000,81.481026
-31.000000,82.514182
-30.000000,83.527021
-29.000000,84.518478
-28.000000,85.487502
-27.000000,86.433055
-26.000000,87.354119
-25.000000,88.249690
-24.000000,89.118789
-23.000000,89.960455
-22.000000,90.773754
-21.000000,91.557774
-20.000000,92.311635
-19.000000,93.034481
-18.000000,93.725490
-17.000000,94.383870
-16.000000,95.008863
-15.000000,95.599748
-14.000000,96.155838
-13.000000,96.676484
-12.000000,97.161077
-11.000000,97.609047
-10.000000,98.019867
-9.000000,98.393051
-8.000000,98.728157
-7.000000,99.024786
-6.000000,99.282586
-5.000000,99.501248
-4.000000,99.680511
-3.000000,99.820162
-2.000000,99.920032
-1.000000,99.980002
0.000000,100.000000
1.000000,99.980002
2.000000,99.920032
3.000000,99.820162
4.000000,99.680511
5.000000,99.501248
6.000000,99.282586
7.000000,99.024786
8.000000,98.728157
9.000000,98.393051
10.000000,98.019867
11.000000,97.609047
12.000000,97.161077
13.000000,96.676484
14.000000,96.155838
15.000000,95.599748
16.000000,95.008863
17.000000,94.383870
18.000000,93.725490
19.000000,93.034481
20.000000,92.311635
21.000000,91.557774
22.000000,90.773754
23.000000,89.960455
24.000000,89.118789
25.000000,88.249690
26.000000,87.354119
27.000000,86.433055
28.000000,85.487502
29.000000,84.518478
30.000000,83.527021
31.000000,82.514182
32.000000,81.481026
33.000000,80.428628
34.000000,79.358073
35.000000,78.270454
36.000000,77.166867
37.000000,76.048416
38.000000,74.916202
39.000000,73.771331
40.000000,72.614904
41.000000,71.448020
42.000000,70.271772
43.000000,69.087249
44.000000,67.895529
45.000000,66.697681
46.000000,65.494763
47.000000,64.287820
48.000000,63.077882
49.000000,61.865965
50.000000,60.653066
51.000000,59.440166
52.000000,58.228224
53.000000,57.018181
54.000000,55.810956
55.000000,54.607443
56.000000,53.408515
57.000000,52.215020
58.000000,51.027780
59.000000,49.847592
60.000000,48.675226
61.000000,47.511424
62.000000,46.356902
63.000000,45.212346
64.000000,44.078414
65.000000,42.955736
66.000000,41.844911
67.000000,40.746510
68.000000,39.661073
69.000000,38.589113
70.000000,37.531110
71.000000,36.487516
72.000000,35.458755
73.000000,34.445218
74.000000,33.447271
75.000000,32.465247
76.000000,31.499453
77.000000,30.550168
78.000000,29.617642
79.000000,28.702097
80.000000,27.803730
81.000000,26.922710
82.000000,26.059182
83.000000,25.213264
84.000000,24.385049
85.000000,23.574608
86.000000,22.781987
87.000000,22.007211
88.000000,21.250282
89.000000,20.511182
90.000000,19.789870
91.000000,19.086288
92.000000,18.400359
93.000000,17.731987
94.000000,17.081059
95.000000,16.447446
96.000000,15.831002
97.000000,15.231569
98.000000,14.648972
99.000000,14.083025
100.000000,13.533528
101.000000,13.000271
102.000000,12.483031
103.000000,11.981577
104.000000,11.495667
105.000000,11.025053
106.000000,10.569476
107.000000,10.128672
108.000000,9.702370
109.000000,9.290294
110.000000,8.892162
111.000000,8.507688
112.000000,8.136582
113.000000,7.778552
114.000000,7.433302
115.000000,7.100535
116.000000,6.779953
117.000000,6.471256
118.000000,6.174144
119.000000,5.888317
120.000000,5.613476
121.000000,5.349324
122.000000,5.095563
123.000000,4.851899
124.000000,4.618039
125.000000,4.393693
126.000000,4.178575
127.000000,3.972399
128.000000,3.774886
129.000000,3.585759
130.000000,3.404745
131.000000,3.231577
132.000000,3.065989
133.000000,2.907723
134.000000,2.756523
135.000000,2.612141
136.000000,2.474331
137.000000,2.342855
138.000000,2.217477
139.000000,2.097970
140.000000,1.984109
141.000000,1.875678
142.000000,1.772463
143.000000,1.674258
144.000000,1.580862
145.000000,1.492079
146.000000,1.407718
147.000000,1.327597
148.000000,1.251534
149.000000,1.179358
150.000000,1.110900
151.000000,1.045997
152.000000,0.984492
153.000000,0.926233
154.000000,0.871073
155.000000,0.818870
156.000000,0.769488
157.000000,0.722795
158.000000,0.678664
159.000000,0.636972
160.000000,0.597602
161.000000,0.560442
162.000000,0.525382
163.000000,0.492318
164.000000,0.461151
165.000000,0.431784
166.000000,0.404125
167.000000,0.378087
168.000000,0.353586
169.000000,0.330539
170.000000,0.308872
171.000000,0.288509
172.000000,0.269381
173.000000,0.251420
174.000000,0.234563
175.000000,0.218749
176.000000,0.203920
177.000000,0.190019
178.000000,0.176996
179.000000,0.164799
180.000000,0.153381
181.000000,0.142697
182.000000,0.132705
183.000000,0.123362
184.000000,0.114632
185.000000,0.106477
186.000000,0.098862
187.000000,0.091755
188.000000,0.085125
189.000000,0.078943
190.000000,0.073180
191.000000,0.067811
192.000000,0.062811
193.000000,0.058156
194.000000,0.053824
195.000000,0.049796
196.000000,0.046050
197.000000,0.042569
198.000000,0.039335
199.000000,0.036333
